Date,Time,Location,Humidity,MaxTemp,Rainfall
06/03/2016,8:00:00,LUSAKA CITY AIRPOR,,25.5,0
07/03/2016,9:00:00,LUSAKA CITY AIRPOR,,27.5,18.3
08/03/2016,10:00:00,LUSAKA CITY AIRPOR,,29.1,5.6
09/03/2016,11:00:00,LUSAKA CITY AIRPOR,,26.8,0
10/03/2016,12:00:00,LUSAKA CITY AIRPOR,,28.6,0
11/03/2016,13:00:00,LUSAKA CITY AIRPOR,,28.5,0
12/03/2016,14:00:00,LUSAKA CITY AIRPOR,,27,0
13/03/2016,15:00:00,LUSAKA CITY AIRPOR,,28.3,0
14/03/2016,16:00:00,LUSAKA CITY AIRPOR,,27.5,0
15/03/2016,17:00:00,LUSAKA CITY AIRPOR,,29.3,9.5
16/03/2016,18:00:00,LUSAKA CITY AIRPOR,,27.4,0
17/03/2016,19:00:00,LUSAKA CITY AIRPOR,,26.3,1
18/03/2016,20:00:00,LUSAKA CITY AIRPOR,,26.5,0
19/03/2016,21:00:00,LUSAKA CITY AIRPOR,,27.5,47.5
20/03/2016,22:00:00,LUSAKA CITY AIRPOR,,30.1,1.8
21/03/2016,23:00:00,LUSAKA CITY AIRPOR,,29.1,0
22/03/2016,0:00:00,LUSAKA CITY AIRPOR,,24.4,1.8
23/03/2016,1:00:00,LUSAKA CITY AIRPOR,,28.7,0
24/03/2016,2:00:00,LUSAKA CITY AIRPOR,,24.5,0
25/03/2016,3:00:00,LUSAKA CITY AIRPOR,,24.5,0
26/03/2016,4:00:00,LUSAKA CITY AIRPOR,,24.7,0
27/03/2016,5:00:00,LUSAKA CITY AIRPOR,,27.5,0
